tipo,ID,CIPI,nombre,desc
PIMET,3370,AA77,TARTAGAL,Tartagal
PIMET,3371,AA45,TINOGASTA,Tinogasta
PIMET,3373,AB05,SAN_MIGUEL_DE_TUCUMAN,San Miguel De Tucuman
PIMET,3374,AB15,USPALLATA,Uspallata
PIMET,3375,AC10,SANTA_MARIA,Santa Maria
PIMET,3378,AB02,VILLA_REYNOLDS,Villa Reynolds
PIMET,3379,AA59,LA_RIOJA,La Rioja
PIMET,3380,AC11,CUMBRES_CALCHAQUIES,Cumbres Calchaquies
PIMET,3381,AA56,CHAMICAL,Chamical
PIMET,3382,AA57,CHEPES,Chepes
PIMET,3383,AA58,CHILECITO,Chilecito
PIMET,3384,AC12,CORDILLERA_LA_RIOJA,Cordillera La Rioja
PIMET,3388,AC13,ANTOFAGASTA_DE_LA_SIERRA,Antofagasta De La Sierra
PIMET,3390,AA60,BERNARDO_DE_IRIGOYEN,Bernardo De Irigoyen
PIMET,3396,AA46,CONCORDIA,Concordia
PIMET,3400,AA39,CORRIENTES,Corrientes
PIMET,3402,AA61,IGUAZU,Iguazu
PIMET,3406,AA47,GUALEGUAYCHU,Gualeguaychu
PIMET,3408,AA40,ITUZAINGO,Ituzaingo
PIMET,3416,AA41,MERCEDES,Mercedes
PIMET,3417,AA42,MONTE_CASEROS,Monte Caseros
PIMET,3420,AA62,OBERA,Obera
PIMET,3423,AA48,PARANA,Parana
PIMET,3424,AA43,PASO_DE_LOS_LIBRES,Paso De Los Libres
PIMET,3427,AA63,POSADAS,Posadas
PIMET,3428,AC14,GOYA,Goya
PIMET,3429,AC15,VICTORIA,Victoria
PIMET,3518,AA36,COMODORO_RIVADAVIA,Comodoro Rivadavia
PIMET,3519,AB28,MALVINAS,Malvinas
PIMET,3527,AB25,PUERTO_SAN_JULIAN,Puerto San Julian
PIMET,3529,AA38,PUERTO_MADRYN,Puerto Madryn
PIMET,3532,AC16,RAWSON,Rawson
PIMET,3534,AB03,RIO_GRANDE,Rio Grande
PIMET,3537,AB04,USHUAIA,Ushuaia
PIMET,3585,AC17,TOLHUIN,Tolhuin
TURISTICA,AC18,AC18,Pinamar,Pinamar
TURISTICA,AC19,AC19,Colon,Colon
