Tipo,ID,Nombre,Descripcion,Lat,Lon,Altura
PIMET,840,COMANDANTE_LUIS_PIEDRABUENA,Comandante Luis Piedrabuena,-49.98,-68.9,
PIMET,841,CORDILLERA_SANTA_CRUZ_SUR,Cordillera Santa Cruz Sur,-50.28,-72.05,
PIMET,842,GOBERNADOR_GREGORES,Gobernador Gregores,-48.78,-70.16,
PIMET,843,PUERTO_DESEADO,Puerto Deseado,-47.73,-65.91,
PIMET,845,PUERTO_SANTA_CRUZ,Puerto Santa Cruz,-50.02,-68.57,
PIMET,846,RIO_GALLEGOS,Rio Gallegos,-51.61,-69.31,
PIMET,847,PICO_TRUNCADO,Pico Truncado,-46.8,-67.97,
PIMET,848,CERES,Ceres,-29.88,-61.94,
PIMET,850,RECONQUISTA,Reconquista,-29.21,-59.69,
PIMET,851,ROSARIO,Rosario,-32.91,-60.78,
PIMET,852,SANTA_FE,Santa Fe,-31.71,-60.81,
PIMET,853,SUNCHALES,Sunchales,-30.97,-61.33,
PIMET,854,VENADO_TUERTO,Venado Tuerto,-33.68,-61.96,
PIMET,855,AÑATUYA,Añatuya,-28.47,-62.83,
PIMET,856,MONTE_QUEMADO,Monte Quemado,-25.81,-62.83,
PIMET,857,QUIMILI,Quimili,-27.64,-62.42,
PIMET,858,RIO_HONDO,Rio Hondo,-27.51,-64.93,
PIMET,859,SANTIAGO_DEL_ESTERO,Santiago Del Estero,-27.75,-64.3,
PIMET,1522,BASE_ESPERANZA,Base Esperanza,-63.4,-57,
PIMET,1523,BASE_ORCADAS,Base Orcadas,-60.74,-44.74,
PIMET,1524,BASE_BELGRANO_II,Base Belgrano Ii,-77.87,-34.63,
PIMET,1525,BASE_JUBANY_(BASE_CARLINI),Base Jubany (Base Carlini),-62.24,-58.66,
PIMET,1526,BASE_MARAMBIO,Base Marambio,-64.24,-56.63,
PIMET,1527,BASE_SAN_MARTIN,Base San Martin,-68.13,-67.1,
PIMET,3330,CACHI,Cachi,-25.12,-66.16,
